Time,Queue Size,Event
1.0967999999999993,8,size
1.0967999999999993,9,size
1.0967999999999993,10,size
1.0967999999999993,10,drop
1.0975999999999992,9,size
1.0983999999999992,8,size
1.099199999999999,7,size
1.099999999999999,6,size
1.100799999999999,5,size
1.1015999999999988,4,size
1.1023999999999987,3,size
1.1031999999999986,2,size
1.1039999999999985,1,size
1.1047999999999984,0,size
2.1463999999999985,1,size
2.1463999999999985,2,size
2.1463999999999985,3,size
2.1463999999999985,4,size
2.1463999999999985,5,size
2.1463999999999985,6,size
2.1463999999999985,7,size
2.1463999999999985,8,size
2.1463999999999985,9,size
2.1463999999999985,10,size
2.1463999999999985,10,drop
2.1463999999999985,10,drop
2.1463999999999985,10,drop
2.1463999999999985,10,drop
2.1463999999999985,10,drop
2.1463999999999985,10,drop
2.1463999999999985,10,drop
2.1463999999999985,10,drop
2.1463999999999985,10,drop
2.1471999999999984,9,size
2.1479999999999984,8,size
2.1487999999999983,7,size
2.149599999999998,6,size
2.150399999999998,5,size
2.151199999999998,4,size
2.151999999999998,3,size
2.152799999999998,2,size
2.1535999999999977,1,size
2.1543999999999977,0,size
3.2167999999999974,1,size
3.2167999999999974,2,size
3.2167999999999974,3,size
3.2167999999999974,4,size
3.2167999999999974,5,size
3.2167999999999974,6,size
3.2167999999999974,7,size
3.2167999999999974,8,size
3.2167999999999974,9,size
3.2167999999999974,10,size
3.2167999999999974,10,drop
3.2167999999999974,10,drop
3.2167999999999974,10,drop
3.2167999999999974,10,drop
3.2167999999999974,10,drop
3.2167999999999974,10,drop
3.2167999999999974,10,drop
3.2167999999999974,10,drop
3.2167999999999974,10,drop
3.2175999999999974,9,size
3.2183999999999973,8,size
3.219199999999997,7,size
3.219999999999997,6,size
3.220799999999997,5,size
3.221599999999997,4,size
3.222399999999997,3,size
3.2231999999999967,2,size
3.2239999999999966,1,size
3.2247999999999966,0,size
3.2431999999999968,1,size
3.2431999999999968,2,size
3.2431999999999968,3,size
3.2431999999999968,4,size
3.2431999999999968,5,size
3.2431999999999968,6,size
3.2431999999999968,7,size
3.2431999999999968,8,size
3.2431999999999968,9,size
3.2431999999999968,10,size
3.2431999999999968,10,drop
3.2439999999999967,9,size
3.2447999999999966,8,size
3.2455999999999965,7,size
3.2463999999999964,6,size
3.2471999999999963,5,size
3.2479999999999962,4,size
3.248799999999996,3,size
3.249599999999996,2,size
3.250399999999996,1,size
3.251199999999996,0,size
4.292799999999995,1,size
4.292799999999995,2,size
4.292799999999995,3,size
4.292799999999995,4,size
4.292799999999995,5,size
4.292799999999995,6,size
4.292799999999995,7,size
4.292799999999995,8,size
4.292799999999995,9,size
4.292799999999995,10,size
4.292799999999995,10,drop
4.292799999999995,10,drop
4.292799999999995,10,drop
4.292799999999995,10,drop
4.292799999999995,10,drop
4.292799999999995,10,drop
4.292799999999995,10,drop
4.292799999999995,10,drop
4.292799999999995,10,drop
4.293599999999995,9,size
4.294399999999995,8,size
4.295199999999995,7,size
4.295999999999995,6,size
4.296799999999995,5,size
4.297599999999995,4,size
4.298399999999995,3,size
4.299199999999995,2,size
4.2999999999999945,1,size
4.300799999999994,0,size
5.363199999999993,1,size
5.363199999999993,2,size
5.363199999999993,3,size
5.363199999999993,4,size
5.363199999999993,5,size
5.363199999999993,6,size
5.363199999999993,7,size
5.363199999999993,8,size
5.363199999999993,9,size
5.363199999999993,10,size
5.363199999999993,10,drop
5.363199999999993,10,drop
5.363199999999993,10,drop
5.363199999999993,10,drop
5.363199999999993,10,drop
5.363199999999993,10,drop
5.363199999999993,10,drop
5.363199999999993,10,drop
5.363199999999993,10,drop
5.363999999999993,9,size
5.364799999999993,8,size
5.365599999999993,7,size
5.3663999999999925,6,size
5.367199999999992,5,size
5.367999999999992,4,size
5.368799999999992,3,size
5.369599999999992,2,size
5.370399999999992,1,size
5.371199999999992,0,size
5.389599999999992,1,size
5.389599999999992,2,size
5.389599999999992,3,size
5.389599999999992,4,size
5.389599999999992,5,size
5.389599999999992,6,size
5.389599999999992,7,size
5.389599999999992,8,size
5.389599999999992,9,size
5.389599999999992,10,size
5.389599999999992,10,drop
5.390399999999992,9,size
5.3911999999999916,8,size
5.3919999999999915,7,size
5.392799999999991,6,size
5.393599999999991,5,size
5.394399999999991,4,size
5.395199999999991,3,size
5.395999999999991,2,size
5.396799999999991,1,size
5.397599999999991,0,size
6.43919999999999,1,size
6.43919999999999,2,size
6.43919999999999,3,size
6.43919999999999,4,size
6.43919999999999,5,size
6.43919999999999,6,size
6.43919999999999,7,size
6.43919999999999,8,size
6.43919999999999,9,size
6.43919999999999,10,size
6.43919999999999,10,drop
6.43919999999999,10,drop
6.43919999999999,10,drop
6.43919999999999,10,drop
6.43919999999999,10,drop
6.43919999999999,10,drop
6.43919999999999,10,drop
6.43919999999999,10,drop
6.43919999999999,10,drop
6.43999999999999,9,size
6.44079999999999,8,size
6.44159999999999,7,size
6.4423999999999895,6,size
6.443199999999989,5,size
6.443999999999989,4,size
6.444799999999989,3,size
6.445599999999989,2,size
6.446399999999989,1,size
6.447199999999989,0,size
7.509599999999987,1,size
7.509599999999987,2,size
7.509599999999987,3,size
7.509599999999987,4,size
7.509599999999987,5,size
7.509599999999987,6,size
7.509599999999987,7,size
7.509599999999987,8,size
7.509599999999987,9,size
7.509599999999987,10,size
7.509599999999987,10,drop
7.509599999999987,10,drop
7.509599999999987,10,drop
7.509599999999987,10,drop
7.509599999999987,10,drop
7.509599999999987,10,drop
7.509599999999987,10,drop
7.509599999999987,10,drop
7.509599999999987,10,drop
7.510399999999987,9,size
7.511199999999987,8,size
7.511999999999987,7,size
7.512799999999987,6,size
7.513599999999987,5,size
7.514399999999987,4,size
7.515199999999987,3,size
7.515999999999987,2,size
7.516799999999987,1,size
7.5175999999999865,0,size
7.535999999999986,1,size
7.535999999999986,2,size
7.535999999999986,3,size
7.535999999999986,4,size
7.535999999999986,5,size
7.535999999999986,6,size
7.535999999999986,7,size
7.535999999999986,8,size
7.535999999999986,9,size
7.535999999999986,10,size
7.535999999999986,10,drop
7.536799999999986,9,size
7.537599999999986,8,size
7.538399999999986,7,size
7.539199999999986,6,size
7.539999999999986,5,size
7.540799999999986,4,size
7.541599999999986,3,size
7.542399999999986,2,size
7.5431999999999855,1,size
7.543999999999985,0,size
8.585599999999983,1,size
8.585599999999983,2,size
